labels,path
neutral,./Session5/sentences/wav/Ses05M_impro07/Ses05M_impro07_F018.wav
angry,./Session1/sentences/wav/Ses01M_script03_2/Ses01M_script03_2_F026.wav
neutral,./Session4/sentences/wav/Ses04F_impro07/Ses04F_impro07_M051.wav
happy,./Session4/sentences/wav/Ses04F_script01_3/Ses04F_script01_3_M009.wav
sad,./Session3/sentences/wav/Ses03F_impro04/Ses03F_impro04_F023.wav
neutral,./Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_M010.wav
happy,./Session4/sentences/wav/Ses04F_script02_1/Ses04F_script02_1_M033.wav
happy,./Session5/sentences/wav/Ses05M_impro03/Ses05M_impro03_F018.wav
neutral,./Session3/sentences/wav/Ses03F_script01_1/Ses03F_script01_1_M001.wav
sad,./Session5/sentences/wav/Ses05F_script01_1/Ses05F_script01_1_F000.wav
neutral,./Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F015.wav
happy,./Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F013.wav
sad,./Session5/sentences/wav/Ses05M_impro02/Ses05M_impro02_M013.wav
neutral,./Session2/sentences/wav/Ses02F_script03_1/Ses02F_script03_1_M015.wav
angry,./Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F023.wav
sad,./Session5/sentences/wav/Ses05F_script02_2/Ses05F_script02_2_M032.wav
angry,./Session3/sentences/wav/Ses03M_impro05a/Ses03M_impro05a_M012.wav
happy,./Session4/sentences/wav/Ses04F_script02_1/Ses04F_script02_1_M038.wav
neutral,./Session5/sentences/wav/Ses05F_impro04/Ses05F_impro04_M017.wav
sad,./Session1/sentences/wav/Ses01M_impro02/Ses01M_impro02_F015.wav
happy,./Session5/sentences/wav/Ses05F_impro03/Ses05F_impro03_F031.wav
neutral,./Session2/sentences/wav/Ses02M_impro08/Ses02M_impro08_M008.wav
neutral,./Session1/sentences/wav/Ses01M_impro04/Ses01M_impro04_F020.wav
happy,./Session3/sentences/wav/Ses03F_impro02/Ses03F_impro02_F007.wav
sad,./Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M035.wav
neutral,./Session4/sentences/wav/Ses04M_impro04/Ses04M_impro04_F016.wav
happy,./Session4/sentences/wav/Ses04M_impro07/Ses04M_impro07_M012.wav
neutral,./Session3/sentences/wav/Ses03F_impro04/Ses03F_impro04_M004.wav
neutral,./Session4/sentences/wav/Ses04M_impro04/Ses04M_impro04_F002.wav
happy,./Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F000.wav
neutral,./Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F009.wav
neutral,./Session2/sentences/wav/Ses02F_script02_1/Ses02F_script02_1_F001.wav
neutral,./Session2/sentences/wav/Ses02M_impro08/Ses02M_impro08_M024.wav
sad,./Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F034.wav
angry,./Session3/sentences/wav/Ses03M_impro05a/Ses03M_impro05a_M028.wav
neutral,./Session3/sentences/wav/Ses03M_impro08a/Ses03M_impro08a_M026.wav
happy,./Session3/sentences/wav/Ses03M_script02_1/Ses03M_script02_1_M024.wav
neutral,./Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M001.wav
happy,./Session1/sentences/wav/Ses01M_script03_1/Ses01M_script03_1_F040.wav
angry,./Session2/sentences/wav/Ses02M_script01_1/Ses02M_script01_1_F026.wav
neutral,./Session3/sentences/wav/Ses03M_impro08b/Ses03M_impro08b_M006.wav
angry,./Session5/sentences/wav/Ses05F_script03_2/Ses05F_script03_2_M043.wav
angry,./Session4/sentences/wav/Ses04F_impro04/Ses04F_impro04_F025.wav
neutral,./Session5/sentences/wav/Ses05M_script02_2/Ses05M_script02_2_F000.wav
neutral,./Session2/sentences/wav/Ses02M_script03_2/Ses02M_script03_2_M033.wav
happy,./Session5/sentences/wav/Ses05F_impro07/Ses05F_impro07_F038.wav
happy,./Session5/sentences/wav/Ses05F_impro07/Ses05F_impro07_M003.wav
sad,./Session3/sentences/wav/Ses03F_impro06/Ses03F_impro06_F028.wav
angry,./Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M006.wav
happy,./Session5/sentences/wav/Ses05F_script02_1/Ses05F_script02_1_M029.wav
happy,./Session1/sentences/wav/Ses01M_script03_1/Ses01M_script03_1_F008.wav
happy,./Session5/sentences/wav/Ses05F_impro07/Ses05F_impro07_F011.wav
happy,./Session1/sentences/wav/Ses01M_script03_1/Ses01M_script03_1_F021.wav
neutral,./Session3/sentences/wav/Ses03F_impro04/Ses03F_impro04_M007.wav
angry,./Session3/sentences/wav/Ses03M_script01_2/Ses03M_script01_2_F001.wav
neutral,./Session2/sentences/wav/Ses02F_impro05/Ses02F_impro05_M000.wav
sad,./Session5/sentences/wav/Ses05F_impro04/Ses05F_impro04_F023.wav
sad,./Session2/sentences/wav/Ses02M_script02_2/Ses02M_script02_2_F031.wav
sad,./Session2/sentences/wav/Ses02M_impro06/Ses02M_impro06_M021.wav
angry,./Session5/sentences/wav/Ses05F_impro02/Ses05F_impro02_M010.wav
neutral,./Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F023.wav
angry,./Session3/sentences/wav/Ses03F_script01_2/Ses03F_script01_2_F006.wav
sad,./Session1/sentences/wav/Ses01M_script01_3/Ses01M_script01_3_M029.wav
happy,./Session2/sentences/wav/Ses02M_impro03/Ses02M_impro03_F012.wav
happy,./Session5/sentences/wav/Ses05F_impro03/Ses05F_impro03_M066.wav
happy,./Session5/sentences/wav/Ses05M_impro07/Ses05M_impro07_M014.wav
neutral,./Session4/sentences/wav/Ses04M_script02_1/Ses04M_script02_1_M015.wav
happy,./Session5/sentences/wav/Ses05F_script03_1/Ses05F_script03_1_M001.wav
happy,./Session4/sentences/wav/Ses04F_impro07/Ses04F_impro07_F017.wav
sad,./Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M030.wav
sad,./Session2/sentences/wav/Ses02F_script01_3/Ses02F_script01_3_M029.wav
angry,./Session2/sentences/wav/Ses02M_impro05/Ses02M_impro05_M026.wav
sad,./Session4/sentences/wav/Ses04M_impro06/Ses04M_impro06_M015.wav
angry,./Session2/sentences/wav/Ses02M_script03_2/Ses02M_script03_2_M027.wav
happy,./Session4/sentences/wav/Ses04M_impro07/Ses04M_impro07_M011.wav
sad,./Session3/sentences/wav/Ses03F_script01_3/Ses03F_script01_3_M037.wav
neutral,./Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_M003.wav
sad,./Session1/sentences/wav/Ses01F_script01_3/Ses01F_script01_3_M025.wav
neutral,./Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M030.wav
sad,./Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F007.wav
angry,./Session3/sentences/wav/Ses03M_script02_2/Ses03M_script02_2_F013.wav
happy,./Session5/sentences/wav/Ses05M_impro03/Ses05M_impro03_M018.wav
neutral,./Session2/sentences/wav/Ses02F_impro01/Ses02F_impro01_M002.wav
happy,./Session4/sentences/wav/Ses04M_impro03/Ses04M_impro03_M029.wav
neutral,./Session4/sentences/wav/Ses04F_script01_3/Ses04F_script01_3_M008.wav
happy,./Session1/sentences/wav/Ses01F_script01_3/Ses01F_script01_3_F011.wav
sad,./Session3/sentences/wav/Ses03F_impro06/Ses03F_impro06_F011.wav
neutral,./Session1/sentences/wav/Ses01M_impro04/Ses01M_impro04_F000.wav
angry,./Session3/sentences/wav/Ses03M_impro08a/Ses03M_impro08a_F014.wav
happy,./Session3/sentences/wav/Ses03F_script01_3/Ses03F_script01_3_M010.wav
angry,./Session4/sentences/wav/Ses04M_script03_2/Ses04M_script03_2_F022.wav
happy,./Session3/sentences/wav/Ses03F_impro03/Ses03F_impro03_M015.wav
happy,./Session3/sentences/wav/Ses03M_impro07/Ses03M_impro07_F011.wav
sad,./Session3/sentences/wav/Ses03F_impro06/Ses03F_impro06_F024.wav
happy,./Session3/sentences/wav/Ses03F_impro07/Ses03F_impro07_F016.wav
angry,./Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_F037.wav
neutral,./Session1/sentences/wav/Ses01M_script01_3/Ses01M_script01_3_M006.wav
sad,./Session3/sentences/wav/Ses03M_impro06/Ses03M_impro06_M010.wav
neutral,./Session4/sentences/wav/Ses04M_impro04/Ses04M_impro04_F000.wav
neutral,./Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F005.wav
neutral,./Session5/sentences/wav/Ses05M_impro07/Ses05M_impro07_F010.wav
sad,./Session5/sentences/wav/Ses05M_script01_3/Ses05M_script01_3_M030.wav
sad,./Session4/sentences/wav/Ses04M_script01_3/Ses04M_script01_3_M034.wav
happy,./Session5/sentences/wav/Ses05M_script03_1/Ses05M_script03_1_M010.wav
angry,./Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M009.wav
happy,./Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F027.wav
neutral,./Session2/sentences/wav/Ses02F_impro06/Ses02F_impro06_M019.wav
neutral,./Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F019.wav
neutral,./Session3/sentences/wav/Ses03M_impro08b/Ses03M_impro08b_M003.wav
happy,./Session4/sentences/wav/Ses04F_impro07/Ses04F_impro07_F052.wav
happy,./Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M040.wav
angry,./Session4/sentences/wav/Ses04F_impro02/Ses04F_impro02_M021.wav
neutral,./Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M010.wav
happy,./Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M024.wav
neutral,./Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F000.wav
happy,./Session3/sentences/wav/Ses03F_impro03/Ses03F_impro03_M002.wav
happy,./Session2/sentences/wav/Ses02F_script02_1/Ses02F_script02_1_M003.wav
happy,./Session4/sentences/wav/Ses04M_impro07/Ses04M_impro07_F003.wav
sad,./Session2/sentences/wav/Ses02M_script01_1/Ses02M_script01_1_M003.wav
angry,./Session2/sentences/wav/Ses02M_script03_2/Ses02M_script03_2_F028.wav
neutral,./Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_M007.wav
happy,./Session5/sentences/wav/Ses05M_script02_1/Ses05M_script02_1_M030.wav
neutral,./Session2/sentences/wav/Ses02F_impro05/Ses02F_impro05_M006.wav
angry,./Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F008.wav
angry,./Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F017.wav
happy,./Session4/sentences/wav/Ses04M_script02_1/Ses04M_script02_1_M028.wav
happy,./Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M002.wav
neutral,./Session1/sentences/wav/Ses01M_script02_1/Ses01M_script02_1_M030.wav
sad,./Session2/sentences/wav/Ses02M_script01_1/Ses02M_script01_1_M041.wav
neutral,./Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_M000.wav
happy,./Session2/sentences/wav/Ses02F_script03_1/Ses02F_script03_1_F005.wav
happy,./Session5/sentences/wav/Ses05F_script02_1/Ses05F_script02_1_M031.wav
angry,./Session5/sentences/wav/Ses05F_impro05/Ses05F_impro05_F042.wav
angry,./Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F006.wav
sad,./Session4/sentences/wav/Ses04F_impro06/Ses04F_impro06_F001.wav
neutral,./Session2/sentences/wav/Ses02M_script02_1/Ses02M_script02_1_F017.wav
neutral,./Session5/sentences/wav/Ses05M_impro05/Ses05M_impro05_M022.wav
happy,./Session2/sentences/wav/Ses02M_impro03/Ses02M_impro03_M011.wav
sad,./Session1/sentences/wav/Ses01M_script02_2/Ses01M_script02_2_M038.wav
happy,./Session5/sentences/wav/Ses05F_impro03/Ses05F_impro03_F047.wav
angry,./Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F023.wav
sad,./Session1/sentences/wav/Ses01M_script01_1/Ses01M_script01_1_M024.wav
happy,./Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_F008.wav
neutral,./Session4/sentences/wav/Ses04M_script02_1/Ses04M_script02_1_M012.wav
neutral,./Session2/sentences/wav/Ses02M_script02_1/Ses02M_script02_1_F005.wav
sad,./Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_F021.wav
neutral,./Session4/sentences/wav/Ses04F_impro08/Ses04F_impro08_F005.wav
sad,./Session3/sentences/wav/Ses03M_script02_2/Ses03M_script02_2_F023.wav
angry,./Session4/sentences/wav/Ses04M_script01_1/Ses04M_script01_1_F029.wav
happy,./Session4/sentences/wav/Ses04M_script01_3/Ses04M_script01_3_M037.wav
happy,./Session3/sentences/wav/Ses03M_impro03/Ses03M_impro03_F003.wav
happy,./Session2/sentences/wav/Ses02M_script03_1/Ses02M_script03_1_M019.wav
happy,./Session2/sentences/wav/Ses02F_impro03/Ses02F_impro03_M024.wav
sad,./Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F021.wav
happy,./Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_F024.wav
happy,./Session5/sentences/wav/Ses05F_script02_2/Ses05F_script02_2_M040.wav
neutral,./Session1/sentences/wav/Ses01M_impro06/Ses01M_impro06_F002.wav
happy,./Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F010.wav
happy,./Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_F005.wav
neutral,./Session5/sentences/wav/Ses05M_script01_3/Ses05M_script01_3_F006.wav
happy,./Session3/sentences/wav/Ses03M_script02_1/Ses03M_script02_1_M035.wav
sad,./Session3/sentences/wav/Ses03F_script01_3/Ses03F_script01_3_M035.wav
angry,./Session3/sentences/wav/Ses03M_impro05b/Ses03M_impro05b_M020.wav
angry,./Session4/sentences/wav/Ses04F_impro08/Ses04F_impro08_M018.wav
angry,./Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_F022.wav
happy,./Session5/sentences/wav/Ses05M_script03_1/Ses05M_script03_1_F003.wav
happy,./Session5/sentences/wav/Ses05M_impro07/Ses05M_impro07_F004.wav
happy,./Session2/sentences/wav/Ses02F_impro03/Ses02F_impro03_M005.wav
